"","year","month","carrier_name","total_delay","delay_carrier","delay_weather","delay_nas","delay_security","delay_late"
"1",2003,6,"AirTran Airways Corporation",3424.10256410256,541,96,1192,0,1595
"2",2003,6,"Alaska Airlines Inc.",2267.26086956522,949,19,314,35,950
"3",2003,6,"American Airlines Inc.",6970.16091954023,2040,729,2457,37,1707
"4",2003,6,"American Eagle Airlines Inc.",3244.01063829787,1015,180,887,3,1159
"5",2003,6,"ATA Airlines d/b/a ATA",1404.89285714286,418,33,528,12,414
"6",2003,6,"Atlantic Coast Airlines",2437.28915662651,880,207,784,1,565
"7",2003,6,"Continental Air Lines Inc.",2731.78313253012,529,131,1316,10,747
"8",2003,6,"Delta Air Lines Inc.",3725.61165048544,1074,90,1692,6,865
"9",2003,6,"ExpressJet Airlines Inc.",2357.21698113208,331,252,1086,3,685
"10",2003,6,"JetBlue Airways",1885.13636363636,1120,58,323,33,351
"11",2003,6,"Northwest Airlines Inc.",2630.62385321101,1202,197,802,8,420
"12",2003,6,"SkyWest Airlines Inc.",1273.83673469388,541,135,357,69,173
"13",2003,6,"Southwest Airlines Co.",8020.50847457627,1580,428,1213,45,4754
"14",2003,6,"United Air Lines Inc.",4417.89743589744,1027,228,1667,35,1461
"15",2003,6,"US Airways Inc.",5409.36065573771,1098,202,1948,0,2161
"16",2003,7,"AirTran Airways Corporation",5348.87179487179,775,187,1888,0,2499
"17",2003,7,"Alaska Airlines Inc.",2596.36956521739,1008,69,287,35,1197
"18",2003,7,"America West Airlines Inc.",2660.73076923077,1306,96,669,6,583
"19",2003,7,"American Airlines Inc.",9882.45977011494,2849,772,3478,10,2773
"20",2003,7,"American Eagle Airlines Inc.",4045.62105263158,1105,182,1256,3,1500
"21",2003,7,"ATA Airlines d/b/a ATA",3344.60714285714,626,61,1336,22,1300
"22",2003,7,"Atlantic Coast Airlines",3581.5119047619,1136,485,1217,4,739
"23",2003,7,"Atlantic Southeast Airlines",3827.9587628866,1361,397,1134,2,934
"24",2003,7,"Continental Air Lines Inc.",3330,609,157,1723,5,836
"25",2003,7,"Delta Air Lines Inc.",5315.25714285714,1306,253,2389,5,1362
"26",2003,7,"ExpressJet Airlines Inc.",2860.22641509434,413,175,1397,3,873
"27",2003,7,"JetBlue Airways",1417.40909090909,346,99,518,39,416
"28",2003,7,"Northwest Airlines Inc.",3204.34259259259,1318,381,965,4,537
"29",2003,7,"SkyWest Airlines Inc.",1016.13861386139,593,160,121,7,135
"30",2003,7,"Southwest Airlines Co.",10811.8644067797,1881,753,1684,21,6473
"31",2003,7,"United Air Lines Inc.",7395.15384615385,1391,446,2951,0,2608
"32",2003,7,"US Airways Inc.",7131.56666666667,1367,439,2530,0,2795
"33",2003,8,"AirTran Airways Corporation",5388.02564102564,722,161,1943,0,2563
"34",2003,8,"Alaska Airlines Inc.",3133.54347826087,1199,39,439,41,1417
"35",2003,8,"America West Airlines Inc.",2754.30769230769,1317,75,735,8,619
"36",2003,8,"American Airlines Inc.",10680.0459770115,2919,1240,3756,20,2745
"37",2003,8,"American Eagle Airlines Inc.",4268.26315789474,1035,277,1374,5,1577
"38",2003,8,"ATA Airlines d/b/a ATA",2624.25,543,37,1051,62,931
"39",2003,8,"Atlantic Coast Airlines",3575.53012048193,1060,527,1176,5,807
"40",2003,8,"Atlantic Southeast Airlines",2911.98039215686,905,315,961,5,726
"41",2003,8,"Continental Air Lines Inc.",3998.9512195122,708,201,2070,3,1018
"42",2003,8,"Delta Air Lines Inc.",5345.6,1477,146,2438,4,1280
"43",2003,8,"ExpressJet Airlines Inc.",3194.98095238095,497,189,1686,2,820
"44",2003,8,"JetBlue Airways",3563.22727272727,1376,59,903,34,1192
"45",2003,8,"Northwest Airlines Inc.",3434.04672897196,1348,371,1130,4,581
"46",2003,8,"SkyWest Airlines Inc.",1502.38775510204,713,313,276,12,189
"47",2003,8,"Southwest Airlines Co.",8607.45762711864,1716,602,1353,46,4891
"48",2003,8,"United Air Lines Inc.",6813.84615384615,1399,397,2667,0,2351
"49",2003,8,"US Airways Inc.",8174.37288135593,1471,485,2865,0,3353
"50",2003,9,"AirTran Airways Corporation",2060.10256410256,301,58,815,0,886
"51",2003,9,"Alaska Airlines Inc.",1595.04347826087,593,43,254,10,696
"52",2003,9,"America West Airlines Inc.",1749.07692307692,799,28,553,3,365
"53",2003,9,"American Airlines Inc.",4830.80459770115,1330,358,2124,0,1019
"54",2003,9,"American Eagle Airlines Inc.",2823.24210526316,761,181,889,1,991
"55",2003,9,"Atlantic Coast Airlines",1986.50602409639,723,138,733,1,390
"56",2003,9,"Atlantic Southeast Airlines",1727.6,633,222,549,1,322
"57",2003,9,"Continental Air Lines Inc.",3334.17073170732,348,87,2204,1,694
"58",2003,9,"JetBlue Airways",676.5,222,28,267,6,153
"59",2003,9,"Northwest Airlines Inc.",1897.02777777778,810,181,676,2,228
"60",2003,9,"SkyWest Airlines Inc.",939.834951456311,485,130,183,6,136
"61",2003,9,"Southwest Airlines Co.",4889.27118644068,1161,195,821,5,2707
"62",2003,9,"United Air Lines Inc.",3058.21794871795,669,30,1442,0,917
"63",2003,9,"US Airways Inc.",3835.22033898305,593,65,1793,0,1385
"64",2003,10,"AirTran Airways Corporation",2193.02631578947,366,23,864,0,940
"65",2003,10,"Alaska Airlines Inc.",2498.11111111111,867,28,536,8,1059
"66",2003,10,"America West Airlines Inc.",1916.46,835,24,608,63,387
"67",2003,10,"American Airlines Inc.",3765.79761904762,1464,102,1478,6,716
"68",2003,10,"American Eagle Airlines Inc.",2201.9797979798,739,57,629,4,773
"69",2003,10,"ATA Airlines d/b/a ATA",1027.82142857143,278,0,471,6,274
"70",2003,10,"Atlantic Coast Airlines",2040.69047619048,789,206,607,6,432
"71",2003,10,"Atlantic Southeast Airlines",1505.0404040404,597,121,477,3,307
"72",2003,10,"Continental Air Lines Inc.",1651.01282051282,329,36,973,2,311
"73",2003,10,"Delta Air Lines Inc.",2857.70476190476,859,37,1397,2,563
"74",2003,10,"ExpressJet Airlines Inc.",1582.28571428571,331,83,792,3,374
"75",2003,10,"JetBlue Airways",1194.63636363636,291,46,433,24,402
"76",2003,10,"Northwest Airlines Inc.",1684.74311926606,772,62,643,6,202
"77",2003,10,"SkyWest Airlines Inc.",1602.33333333333,742,249,315,9,286
"78",2003,10,"Southwest Airlines Co.",7920.40677966102,1505,193,1463,54,4706
"79",2003,10,"United Air Lines Inc.",3624.44871794872,858,60,1568,3,1135
"80",2003,10,"US Airways Inc.",2783.20689655172,609,22,1134,0,1018
"81",2003,11,"AirTran Airways Corporation",2531.16216216216,465,25,1026,0,1015
"82",2003,11,"Alaska Airlines Inc.",2821.35555555556,906,51,625,9,1229
"83",2003,11,"America West Airlines Inc.",2300.52,846,17,859,4,576
"84",2003,11,"American Airlines Inc.",7512.92857142857,1557,413,3566,9,1968
"85",2003,11,"American Eagle Airlines Inc.",4495.56,933,184,1584,1,1793
"86",2003,11,"ATA Airlines d/b/a ATA",3399.89285714286,460,143,1479,12,1306
"87",2003,11,"Atlantic Coast Airlines",4180.74074074074,1083,525,1861,3,709
"88",2003,11,"Atlantic Southeast Airlines",1405.68,519,202,443,3,238
"89",2003,11,"Continental Air Lines Inc.",3165.32051282051,473,210,1911,2,569
"90",2003,11,"Delta Air Lines Inc.",3020.21904761905,812,34,1574,2,598
"91",2003,11,"ExpressJet Airlines Inc.",2490.86274509804,380,153,1340,2,616
"92",2003,11,"Hawaiian Airlines Inc.",527,401,3,9,2,113
"93",2003,11,"JetBlue Airways",1565.63636363636,272,155,488,14,637
"94",2003,11,"Northwest Airlines Inc.",2963.90566037736,980,282,1287,2,413
"95",2003,11,"SkyWest Airlines Inc.",2130.17142857143,953,313,511,13,341
"96",2003,11,"Southwest Airlines Co.",7126.84745762712,1425,225,1390,15,4072
"97",2003,11,"United Air Lines Inc.",7533.94805194805,1213,89,3861,1,2371
"98",2003,11,"US Airways Inc.",3343.81034482759,596,56,1501,0,1190
"99",2003,12,"AirTran Airways Corporation",5559.7027027027,688,55,2240,0,2576
"100",2003,12,"Alaska Airlines Inc.",3361.78260869565,985,85,640,21,1631
"101",2003,12,"America West Airlines Inc.",2632.84,1105,85,826,12,605
"102",2003,12,"American Airlines Inc.",8111.7816091954,2091,582,3258,17,2164
"103",2003,12,"American Eagle Airlines Inc.",5093.19607843137,1230,195,1522,4,2143
"104",2003,12,"ATA Airlines d/b/a ATA",2477.32142857143,572,8,965,25,907
"105",2003,12,"Atlantic Coast Airlines",4647.12345679012,1347,415,1694,3,1188
"106",2003,12,"Atlantic Southeast Airlines",2115.19587628866,809,238,744,8,315
"107",2003,12,"Continental Air Lines Inc.",3707.54320987654,585,238,2055,22,808
"108",2003,12,"Delta Air Lines Inc.",5968.30555555556,1493,284,2532,15,1645
"109",2003,12,"ExpressJet Airlines Inc.",3097.36538461538,660,132,1460,13,833
"110",2003,12,"Hawaiian Airlines Inc.",1040.5,752,7,40,6,234
"111",2003,12,"JetBlue Airways",2791.95454545455,588,166,1047,46,946
