,full_state_name,delay,flight_numbers,flight_wise_delay
1,US01,1670.198793,149.2536627,11.19033706
2,US02,1406.597627,143.7246494,9.786752882
3,US04,5417.608088,676.6992647,8.00593169
4,US05,1993.521739,166.0280632,12.00713723
5,US06,5124.092656,503.7843346,10.17120284
6,US08,5608.570138,566.0564172,9.908146904
7,US09,2287.582322,207.2235702,11.03919945
8,US10,1107.342105,51.47368421,21.51278119
9,US11,5831.927255,541.7902342,10.76417936
10,US12,3869.556209,351.2221307,11.01740429
11,US13,16318.33598,1350.036797,12.08732682
12,US15,1668.571336,288.6783931,5.780035415
13,US16,1326.050847,163.9570975,8.087791672
14,US17,15327.15392,1078.062941,14.21730897
15,US18,1958.378328,178.3143318,10.98273093
16,US19,1506.431027,123.1723249,12.23027193
17,US20,1444.204286,118.0064286,12.23835263
18,US21,1729.155071,149.9337804,11.53279179
19,US22,2054.294735,196.7121147,10.44315312
20,US23,1278.227371,93.07530775,13.73325968
21,US24,6974.912997,723.8334218,9.636074804
22,US25,8773.033846,695.7226374,12.60995888
23,US26,3552.091731,341.5068534,10.40123118
24,US27,6201.501045,622.7261324,9.958633053
25,US28,1327.293794,122.2427427,10.85785351
26,US29,3354.511188,329.8199756,10.17073384
27,US30,812.1484899,110.8770973,7.32476327
28,US31,1783.554402,153.5697517,11.61396943
29,US32,6091.367364,647.8664133,9.402196562
30,US33,2127.422096,188.0944287,11.31039399
31,US34,16511.98677,836.9763705,19.72813971
32,US35,2225.312136,243.8823529,9.124531188
33,US36,5200.497412,354.3317565,14.67691596
34,US37,3933.215743,397.1624543,9.903291966
35,US38,940.0105202,93.02630041,10.10478237
36,US39,3751.73549,362.3093585,10.35506095
37,US40,2111.37023,182.8448439,11.54733262
38,US41,3246.04306,351.9319493,9.223496381
39,US42,3701.938745,294.318317,12.57801004
40,US43,2759.813119,217.6949257,12.6774343
41,US44,2151.682422,199.415805,10.78992922
42,US45,1701.175735,135.5222598,12.55274032
43,US46,1060.998596,98.02105263,10.82419101
44,US47,3308.441756,322.6542439,10.25382997
45,US48,6282.893303,611.5632034,10.27349793
46,US49,5750.345958,805.0157044,7.143147552
47,US50,1365.863855,95.66385542,14.27774209
48,US51,495.1137905,43.50113037,11.38163046
49,US52,1655.478949,132.7625306,12.46947419
50,US53,4387.376461,471.6754061,9.301685871
51,US54,893.8440722,75.07989691,11.90523841
52,US55,1902.501753,169.694128,11.21135879
53,US56,783.328223,87.26062718,8.976880505

