,full_state_name_alpha,delay,flight_numbers,flight_wise_delay
1,Alabama,1670.198793,149.2536627,11.19033706
2,Alaska,1406.597627,143.7246494,9.786752882
3,Arizona,5417.608088,676.6992647,8.00593169
4,Arkansas,1993.521739,166.0280632,12.00713723
5,California,5124.092656,503.7843346,10.17120284
6,Colorado,5608.570138,566.0564172,9.908146904
7,Connecticut,2287.582322,207.2235702,11.03919945
8,Delaware,1107.342105,51.47368421,21.51278119
9,District of Columbia,5831.927255,541.7902342,10.76417936
10,Florida,3869.556209,351.2221307,11.01740429
11,Georgia,16318.33598,1350.036797,12.08732682
12,Hawaii,1668.571336,288.6783931,5.780035415
13,Idaho,1326.050847,163.9570975,8.087791672
14,Illinois,15327.15392,1078.062941,14.21730897
15,Indiana,1958.378328,178.3143318,10.98273093
16,Iowa,1506.431027,123.1723249,12.23027193
17,Kansas,1444.204286,118.0064286,12.23835263
18,Kentucky,1729.155071,149.9337804,11.53279179
19,Louisiana,2054.294735,196.7121147,10.44315312
20,Maine,1278.227371,93.07530775,13.73325968
21,Maryland,6974.912997,723.8334218,9.636074804
22,Massachusetts,8773.033846,695.7226374,12.60995888
23,Michigan,3552.091731,341.5068534,10.40123118
24,Minnesota,6201.501045,622.7261324,9.958633053
25,Mississippi,1327.293794,122.2427427,10.85785351
26,Missouri,3354.511188,329.8199756,10.17073384
27,Montana,812.1484899,110.8770973,7.32476327
28,Nebraska,1783.554402,153.5697517,11.61396943
29,Nevada,6091.367364,647.8664133,9.402196562
30,New Hampshire,2127.422096,188.0944287,11.31039399
31,New Jersey,16511.98677,836.9763705,19.72813971
32,New Mexico,2225.312136,243.8823529,9.124531188
33,New York,5200.497412,354.3317565,14.67691596
34,North Carolina,3933.215743,397.1624543,9.903291966
35,North Dakota,940.0105202,93.02630041,10.10478237
36,Ohio,3751.73549,362.3093585,10.35506095
37,Oklahoma,2111.37023,182.8448439,11.54733262
38,Oregon,3246.04306,351.9319493,9.223496381
39,Pennsylvania,3701.938745,294.318317,12.57801004
40,Rhode Island,2151.682422,199.415805,10.78992922
41,South Carolina,1701.175735,135.5222598,12.55274032
42,South Dakota,1060.998596,98.02105263,10.82419101
43,Tennessee,3308.441756,322.6542439,10.25382997
44,Texas,6282.893303,611.5632034,10.27349793
45,Utah,5750.345958,805.0157044,7.143147552
46,Vermont,1365.863855,95.66385542,14.27774209
47,Virgin Islands of US,1655.478949,132.7625306,12.46947419
48,Washington,4387.376461,471.6754061,9.301685871
49,West Virginia,893.8440722,75.07989691,11.90523841
50,Wisconsin,1902.501753,169.694128,11.21135879
51,Wyoming,783.328223,87.26062718,8.976880505
52,Virginia,495.1137905,43.50113037,11.38163046
